command,syntax
Login Block-for,"{'no login block-for', 'login block-for seconds attempts tries within seconds'}"
Surveillance-vlan traffic-source,"{'surveillance-vlan traffic-source default | {mac mac-address|oui OUI} [description description]}', 'no surveillance-vlan traffic-source {mac mac-address|oui OUI}'}"
aaa accounting dot1x,"{'no aaa accounting dot1x start-stop group radius', 'aaa accounting dot1x start-stop group radius'}"
aaa accounting login start-stop,"{'no aaa accounting login start-stop', 'aaa accounting login start-stop group {radius | tacacs+}'}"
aaa authentication dot1x,"{'no aaa authentication dot1x default', 'aaa authentication dot1x default {radius | none | {radius none}'}"
aaa authentication enable,"{'aaa authentication enable {default | LISTNAME} method1 [method2 .]', 'aaa authentication enable [authorization] {default | list-name} method [method2.]}', 'no aaa authentication enable {default | LISTNAME}', 'no aaa authentication enable {default | list-name}'}"
aaa authentication login,"{'no aaa authentication login {default | list-name}', 'no aaa authentication login {default | LISTNAME}', 'aaa authentication login [authorization] {default | list-name} method1 [method2.]', 'aaa authentication login {default | LISTNAME} method1 [method2.]'}"
aaa logging,"{'no aaa logging {login}', 'aaa logging {login}'}"
aaa login-history file,"{'no aaa login-history file', 'aaa login-history file'}"
absolute,"{'absolute (end | start) HH:MM (jan | feb | mar | apr | may | jun | jul | aug | sep | oct | nov | dec) <1-31> <2000-2037>', 'no absolute end', 'absolute end hh:mm day month year', 'no absolute start', 'absolute start hh:mm day month year'}"
accept-lifetime,"{'no accept-lifetime', 'accept-lifetime start-time {infinite | end-time | duration seconds}'}"
address (DHCP Host),"{'no address', 'address ip-address {mask | prefix-length} {client-identifier unique-identifier | hardware-address mac-address}'}"
address (DHCP Network),"{'no address', 'address {network-number | low low-address high high-address} {mask | prefix-length}'}"
address-config,"{'address-config [stateless | any] [dhcp]', 'no address-config'}"
address-prefix-validation,"{'address-prefix-validation [enable | disable]', 'no address-prefix-validation'}"
allowed-time-range,"{'no allowed-time-range', 'allowed-time-range time-range-name'}"
arp,"{'no arp ip-address', 'arp ip-address mac-address [interface-id]'}"
arp timeout (Global),"{'arp timeout seconds', 'no arp timeout'}"
authentication open,"{'authentication open', 'no authentication open'}"
auto-default-router,"{'auto-default-router', 'no auto-default-router'}"
autobaud,"{'no autobaud', 'autobaud'}"
back-pressure,"{'back-pressure', 'no back-pressure'}"
banner exec,"{'banner exec delimiter', 'no banner exec', 'banner exec d message-text d'}"
banner login,"{'no banner login', 'banner login delimiter', 'banner login d message-text d'}"
bluetooth device-name,"{'bluetooth device-name device-name', 'no bluetooth device-name'}"
bluetooth pin,"{'no bluetooth pin.', 'bluetooth pin pin'}"
bonjour enable,"{'no bonjour enable.', 'no bonjour enable', 'bonjour enable'}"
bonjour interface range,"{'no bonjour interface range [interface-list]', 'bonjour interface range interface-list'}"
boot config,"{'boot config mirror-config', 'boot config startup-config-url', 'boot config running-config', 'no boot config'}"
boot host auto-config,"{'boot host auto-config [tftp | scp | auto [extension]', 'no boot host auto-config', 'boot host auto-config'}"
boot host auto-update,"{'no boot host auto-update', 'boot host auto-update [tftp | scp | auto [extension]'}"
boot localization,"{'boot localization dictionary-url', 'no boot localization'}"
boot system,"{'boot system {image-1 | image-2}', 'boot system image-url', 'boot system inactive-image'}"
bootfile,"{'bootfile filename', 'no bootfile'}"
bridge multicast address,"{'no bridge multicast address mac-multicast-address', 'bridge multicast address {mac-multicast-address | ipv4-multicast-address} [{add | remove} {ethernet interface-list | port-channel port-channel-list}]'}"
bridge multicast filtering,"{'bridge multicast filtering', 'no bridge multicast filtering'}"
bridge multicast forbidden address,"{'bridge multicast forbidden address {mac-multicast-address | ipv4-multicast-address} {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'no bridge multicast forbidden address mac-multicast-address'}"
bridge multicast forbidden forward-all,"{'no bridge multicast forbidden forward-all', 'bridge multicast forbidden forward-all {add | remove} {ethernet interface-list | port-channel port-channel-list}'}"
bridge multicast forbidden ip-address,"{'no bridge multicast forbidden ip-address ip-multicast-address', 'bridge multicast forbidden ip-address {ip-multicast-address} {add | remove} {ethernet interface-list | port-channel port-channel-list}'}"
bridge multicast forbidden source group,"{'no bridge multicast forbidden source ip-address group ip-multicast-address', 'bridge multicast forbidden source ip-address group ip-multicast-address {add | remove} {ethernet interface-list | port-channel port-channel-list}'}"
bridge multicast forward-all,"{'bridge multicast forward-all {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'no bridge multicast forward-all'}"
bridge multicast ip-address,"{'bridge multicast ip-address ip-multicast-address [add | remove] {interface-list | port-channel port-channel-list}]', 'no bridge multicast ip-address ip-multicast-address'}"
bridge multicast ipv6 forbidden ip-address,"{'bridge multicast ipv6 forbidden ip-address {ipv6-multicast-address} {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'no bridge multicast ipv6 forbidden ip-address ipv6-multicast-address'}"
bridge multicast ipv6 forbidden source group,"{'bridge multicast ipv6 forbidden source ipv6-source-address group ipv6-multicast-address {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'no bridge multicast ipv6 forbidden source ipv6-address group ipv6-multicast-address'}"
bridge multicast ipv6 ip-address,"{'no bridge multicast ipv6 ip-address ip-multicast-address', 'bridge multicast ipv6 ip-address ipv6-multicast-address [add | remove] {ethernet interface-list | port-channel port-channel-list}]'}"
bridge multicast ipv6 mode,"{'no bridge multicast ipv6 mode', 'bridge multicast ipv6 mode {mac-group | ip-group | ip-src-group}'}"
bridge multicast ipv6 source group,"{'no bridge multicast ipv6 source ipv6-address group ipv6-multicast-address', 'bridge multicast ipv6 source ipv6-source-address group ipv6-multicast-address [add | remove] {ethernet interface-list | port-channel port-channel-list}]'}"
bridge multicast mode,"{'no bridge multicast mode', 'bridge multicast mode {mac-group | ipv4-group | ipv4-src-group}'}"
bridge multicast reserved-address,"{'bridge multicast reserved-address mac-multicast-address {discard | bridge}', 'bridge multicast reserved-address mac-multicast-address [ethernet-v2 ethtype | llc sap | llc-snap pid] {discard | bridge}', 'no bridge multicast reserved-address mac-multicast-address [ethernet-v2 ethtype | llc sap | llc-snap pid]'}"
